0,1,12,19,2,20,39,43,44,5,50,53,7,8,80,81,85,86,92,label
-0.253892,-0.998981,1,1003,-0.96,4,-0.95,-0.928571,-0.959457,0,-0.996241,1,-0.997875,-0.999446,-0.95,-0.96,-0.931034,-0.959457,-0.996241,0
-0.950202,-0.995219,0,2010,-1,4,-1,-1,-1,1,-0.996241,1,-1,-1,-1,-1,-1,-1,-0.996241,0
-0.998275,-0.998981,0,2009,-1,9,-1,-1,-1,1,-0.992481,0,-1,-1,-1,-1,-1,-1,-0.992481,0
-0.934988,-0.934002,0,2009,-1,1,-1,-1,-1,0,-1,0,-0.997875,-0.999446,-1,-1,-1,-1,-0.996241,0
-0.890287,-0.889324,1,2009,-1,4,-1,-1,-1,0,-1,0,-0.997875,-0.999446,-1,-1,-1,-1,-1,0
-0.985884,-0.985891,1,2009,-1,4,-1,-1,-1,0,-0.951128,1,-1,-1,-1,-1,-1,-1,-0.951128,0
-0.94432,-0.94333,1,2009,-1,1,-1,-1,-1,0,-1,0,-0.997875,-0.999446,-1,-1,-1,-1,-1,0
-0.95875,-0.957752,1,4001,-0.98488,1,-0.95,-0.928571,-0.984675,0,-1,0,-0.997875,-0.999446,-0.95,-0.98488,-0.931034,-0.984675,-1,0
-0.895463,-0.894498,1,2009,-1,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0
-0.998275,-0.997257,0,2009,-1,4,-1,-1,-1,0,-1,0,-0.993624,-0.998338,-1,-1,-1,-1,-0.996241,0
-0.623966,-0.9971,1,2009,-1,1,-1,-1,-1,0,-0.996241,0,-0.995749,-0.998892,-1,-1,-1,-1,-0.992481,0
-0.945732,-0.944741,0,1007,-1,1,-1,-1,-1,0,-1,0,-0.997875,-0.998338,-1,-1,-1,-1,-1,0
-0.999137,-0.998981,0,1002,-1,4,-1,-1,-1,0,-0.996241,1,-0.997875,-0.993908,-1,-1,-1,-1,-0.996241,0
-0.998432,-0.997413,1,1010,-0.98004,4,-0.95,-0.928571,-0.979769,0,-1,0,-0.997875,-0.999446,-0.95,-0.98004,-0.931034,-0.979769,-1,0
-0.719719,-0.998981,1,4001,-0.99406,4,-0.95,-0.928571,-0.993979,0,-0.996241,0,-0.997875,-0.999446,-0.95,-0.99406,-0.931034,-0.993979,-0.996241,0
-0.950202,-0.998981,0,2009,-1,4,-1,-1,-1,1,-0.996241,1,-1,-1,-1,-1,-1,-1,-0.996241,0
